OBJECTID,OPERATOR,LINE_NAME,TYPE,LENGTH_FEE,LENGTH_MET,STATE,CO_NAME,GLOBALID
28,SEPTA,Paoli/Thorndale Line,Regional Rail,106627.52664995,32500.13512317,PA,Chester,{B543A279-8074-43D5-9350-697F116CE1A1}
29,SEPTA,Paoli/Thorndale Line,Regional Rail,12143.54789898,3701.36080233,PA,Philadelphia,{6C2F6EE9-648E-42AF-BC6F-069DC4E3BB16}
30,SEPTA,Paoli/Thorndale Line,Regional Rail,19319.02957929,5888.45199267,PA,Delaware,{981C6051-C6D7-4A63-BE69-8BB31BC5FADD}
33,SEPTA,SEPTA Main Line,Regional Rail,15480.18945973,4718.37118407,PA,Philadelphia,{3BAD046C-CB84-41F2-9EDC-AC690002A2A6}
34,SEPTA,SEPTA Main Line,Regional Rail,34080.00189507,10387.60535283,PA,Philadelphia,{2D1A857D-B147-4D8B-B713-289E0A0F94C4}
35,SEPTA,SEPTA Main Line,Regional Rail,4191.18684286,1277.47630466,PA,Philadelphia,{9407BF5A-E24B-4EDC-B553-2AC92C7DF722}
36,SEPTA, Ridge Spur,Subway,4820.83045967,1469.39206289,PA,Philadelphia,{68F70E81-618A-4C98-AF75-7A9491D3C5F0}
37,"SEPTA Ridge Spur, PATCO HSL","SEPTA Ridge Spur, PATCO HSL Line",Subway,1404.21250304,428.00482694,PA,Philadelphia,{2992EA80-2A36-4A43-BF5D-463394689C15}
38,SEPTA,Route 101 & 102 Trolley Lines,Surface Trolley,11395.31420492,3473.29871626,PA,Delaware,{65F7DD2C-A38E-4285-AED4-7BF2BBEC7D62}
39,SEPTA,Route 101 Trolley,Surface Trolley,34471.55373457,10506.9505922,PA,Delaware,{152DE1CB-967D-4B35-BFC7-4EE9361DB574}
40,SEPTA,Route 102 Trolley,Surface Trolley,16870.91353161,5142.26472896,PA,Delaware,{AC4198F7-4FF4-4F24-916E-A5B86909B731}
42,SEPTA,Manayunk/Norristown Line,Regional Rail,40883.65527873,12461.36305168,PA,Montgomery,{71BE304F-F015-4C13-9782-DD3BD6F73F80}
43,SEPTA,Manayunk/Norristown Line,Regional Rail,37019.48788387,11283.56247413,PA,Philadelphia,{C375FD8A-CA73-40AD-8DC2-1A867D395F78}
44,NJ Transit,NJ Transit Atlantic City Line,NJ Transit,150894.30947211,45992.67751245,NJ,Camden,{A7878F93-E398-482D-86B1-B9BA05CC31CA}
45,NJ Transit,NJ Transit Atlantic City Line,NJ Transit,10950.72956082,3337.78904572,PA,Philadelphia,{7CAA459A-A2F1-43F7-B18A-C08A1E0E3AD5}
46,SEPTA,Airport Line,Regional Rail,27072.6659349,8251.76508049,PA,Philadelphia,{36698AFB-295B-49EC-BDAA-739222C8525A}
47,SEPTA,Airport Line,Regional Rail,2599.08337077,792.20219581,PA,Delaware,{52B3E2A6-3990-4F3F-85F9-3C1D4C4E6E73}
48,SEPTA,Media/Elwyn Line,Regional Rail,11801.53342276,3597.11458149,PA,Philadelphia,{3EFCB01D-47A5-416E-8069-76ABC26A17DE}
49,SEPTA,Media/Elwyn Line,Regional Rail,55170.27199957,16815.93253733,PA,Delaware,{F87C892C-3A8E-4810-98B7-2E04875CA622}
50,SEPTA,Cynwyd Line,Regional Rail,2801.37051166,853.85943967,PA,Montgomery,{CA706988-BF1B-4B38-813B-F6EA81C027DE}
51,SEPTA,Cynwyd Line,Regional Rail,12854.50665444,3918.0614644,PA,Philadelphia,{C337D88C-81C7-40DF-9C33-801BA67D0DB9}
52,SEPTA,SEPTA Main Line,Regional Rail,25548.46258301,7787.18696968,PA,Philadelphia,{4543FA87-A5B2-43C1-B2E5-E1E3A3A0DEB4}
53,SEPTA,SEPTA Main Line,Regional Rail,20584.30183109,6274.10774633,PA,Montgomery,{7B85835B-AD18-4A90-924F-55F1D15A8BCA}
54,SEPTA,SEPTA Main Line,Regional Rail,25484.0578371,7767.55636386,PA,Philadelphia,{77EF66B4-57ED-4121-8934-1C96E9DC6B29}
55,SEPTA,SEPTA Main Line,Regional Rail,7386.87730405,2251.52470532,PA,Philadelphia,{C7C01CD1-7309-475F-9A83-262395E4F02D}
56,"SEPTA, AMTRAK",Wilmington/Newark Line/North East Corridor,Regional Rail,109010.97083111,33226.61036254,DE,New Castle,{1EBC9486-0F44-40E6-B0FB-871AF25B8287}
61,AMTRAK,Keystone Corridor,AMTRAK,67791.82184942,20662.98862568,PA,Chester,{046A4927-35CB-495F-B2FD-9030419062DB}
1,NJ Transit,River LINE,NJ Transit Light Rail,29958.15494554,9131.26388993,NJ,Mercer,{759D4F40-0FDD-459A-AB22-644956745025}
2,NJ Transit,River LINE,NJ Transit Light Rail,109475.56276889,33368.2182684,NJ,Burlington,{98764479-61DF-4B87-96C8-12FF8B8CDE38}
3,SEPTA,Lansdale/Doylestown Line,Regional Rail,36182.24380815,11028.36996947,PA,Bucks,{853F02FD-A74C-4193-B7A7-02269BE48277}
4,SEPTA,Lansdale/Doylestown Line,Regional Rail,81105.30127751,24720.94527128,PA,Montgomery,{33431B6D-46CE-46CF-B162-BE1577ACA98F}
5,SEPTA,Warminster Line,Regional Rail,4183.60929343,1275.16666297,PA,Bucks,{52BFF9C9-71CB-4B26-B440-6ED2C3D894FE}
6,SEPTA,Warminster Line,Regional Rail,38213.46601511,11647.48773638,PA,Montgomery,{55CC3858-9954-4D10-9CC9-D1D84D529BE3}
7,SEPTA,West Trenton Line,Regional Rail,6615.17176674,2016.30838712,NJ,Mercer,{0F606F1F-BCFA-4F16-83EF-A8473A7E2B9F}
8,SEPTA,West Trenton Line,Regional Rail,67435.05826923,20554.24686895,PA,Bucks,{F490FE55-A1DF-491C-8FB7-A71D9776EBB5}
9,SEPTA,West Trenton Line,Regional Rail,32895.2429571,10026.4901063,PA,Montgomery,{EC4D711C-83AC-4380-B838-95A0A4245B2A}
10,SEPTA,West Trenton Line,Regional Rail,7758.48632357,2364.79136101,PA,Philadelphia,{E590C598-0AF1-4656-90DB-94A9D29C2E81}
11,SEPTA,Fox Chase Line,Regional Rail,5686.56661548,1733.26897094,PA,Montgomery,{C79D5584-3AF2-4D8B-A225-CCB7392E04DA}
12,SEPTA,Fox Chase Line,Regional Rail,19856.02151981,6052.12746349,PA,Philadelphia,{6B9A0337-93EA-46E7-9F25-67D8628DF8BF}
13,SEPTA,Chestnut Hill East Line,Regional Rail,29855.71884128,9100.0413029,PA,Philadelphia,{CDE06EE4-4C0C-42B6-A1E2-88E6A4E7D440}
15,PATCO,PATCO,PATCO,64052.8283205,19523.34111877,NJ,Camden,{80348277-019F-4974-B2B6-A2B0035DF757}
41,NJ Transit,River LINE,NJ Transit Light Rail,44095.42328093,13440.31189665,NJ,Camden,{ED3240CC-848D-48FE-A141-CC3AF0A1F09A}
32,NJ Transit,Northeast Corridor Line,NJ Transit,54190.60182005,16517.32846941,NJ,Mercer,{662405A0-96BB-4188-BF9D-43B3B948562B}
62,NJ Transit,Princeton Branch,NJ Transit,14394.94461971,4387.58789526,NJ,Mercer,{19134DA7-8DD9-482F-A70C-DB84B18D7369}
14,SEPTA,Chestnut Hill West Line,Regional Rail,35843.43976185,10925.10228962,PA,Philadelphia,{44EA1ECA-F255-432D-89C7-4F17637FAFB1}
16,PATCO,PATCO,PATCO,10340.02528587,3151.64601042,PA,Philadelphia,{70325683-B2F7-4D01-A3F1-56B75B2AAA10}
17,SEPTA,Broad Street Line,Subway,52306.57987555,15943.07743222,PA,Philadelphia,{D09116A0-18E4-494A-9891-E1DBA5D1DE71}
18,SEPTA,Market/Frankford Line,Subway - Elevated,65857.68394162,20073.46221233,PA,Philadelphia,{5E9EDFC4-B5B3-48A7-AF01-26C2A19E86CA}
19,SEPTA,Market/Frankford Line,Subway - Elevated,3616.39050522,1102.27803055,PA,Delaware,{D6B3CADB-C115-419F-B68D-F01847218CD0}
20,SEPTA,Norristown High Speed Line,Rapid Transit,25490.77061138,7769.60242155,PA,Montgomery,{1403E219-EF09-4C4A-977E-029EB5266EB7}
21,SEPTA,Norristown High Speed Line,Rapid Transit,45084.63868558,13741.82535502,PA,Delaware,{890C9C4A-AB76-4FFD-A122-05245621F438}
22,SEPTA,Wilmington/Newark Line,Regional Rail,9450.11852074,2880.40188592,PA,Philadelphia,{40944A88-0622-4CD5-A492-9094940C5604}
23,SEPTA,Wilmington/Newark Line,Regional Rail,65924.58702661,20093.85431342,PA,Delaware,{4B01B5C1-DF6C-43AF-8BB3-4631D4E997A5}
24,SEPTA,Trenton Line,Regional Rail,6192.83737151,1887.580606,NJ,Mercer,{F3CCCD82-8AED-406C-8823-898168058946}
25,SEPTA,Trenton Line,Regional Rail,86940.7254425,26499.58611405,PA,Bucks,{F74E5994-CE79-4C4B-BE24-3D161F744D40}
26,SEPTA,Trenton Line,Regional Rail,37888.67907029,11548.49247761,PA,Philadelphia,{5F02E745-D9B6-4856-953C-75050175E210}
27,SEPTA,Paoli/Thorndale Line,Regional Rail,31666.89252037,9652.08814438,PA,Montgomery,{B3FF4CF0-96C4-416E-9E19-A55ED745E63B}
