Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,90.0,80.0,69.0,74.0,68.0,52.0,90.0,nan,34.0,13.0,nan,0.0,30.17,nan,nan,nan,nan,nan
2,80.0,71.0,62.0,48.0,42.0,39.0,43.0,nan,26.0,17.0,nan,0.0,30.04,nan,nan,nan,nan,nan
3,76.0,67.0,57.0,41.0,37.0,33.0,55.0,nan,21.0,18.0,nan,0.0,30.1,nan,nan,nan,nan,nan
4,75.0,67.0,59.0,54.0,44.0,37.0,72.0,nan,31.0,14.0,nan,0.0,30.11,nan,nan,nan,nan,nan
5,70.0,63.0,56.0,56.0,52.0,50.0,84.0,nan,53.0,13.0,nan,0.0,30.1,nan,nan,nan,nan,nan
6,81.0,71.0,60.0,58.0,57.0,53.0,90.0,nan,39.0,12.0,nan,0.0,30.03,nan,nan,nan,nan,nan
7,87.0,77.0,66.0,63.0,60.0,55.0,81.0,nan,35.0,14.0,nan,0.0,29.99,nan,nan,nan,nan,nan
8,94.0,84.0,73.0,69.0,66.0,63.0,73.0,nan,41.0,7.0,nan,0.0,29.94,nan,nan,nan,nan,nan
9,95.0,82.0,69.0,73.0,69.0,63.0,97.0,nan,44.0,9.0,nan,0.0,29.91,nan,nan,nan,nan,nan
10,87.0,79.0,70.0,69.0,66.0,62.0,100.0,nan,50.0,12.0,nan,0.0,30.0,nan,nan,nan,nan,nan
11,72.0,66.0,60.0,67.0,63.0,59.0,100.0,nan,79.0,16.0,nan,5.0,30.05,nan,nan,nan,nan,nan
12,74.0,66.0,58.0,63.0,60.0,56.0,100.0,nan,68.0,15.0,nan,0.0,29.93,nan,nan,nan,nan,nan
13,73.0,67.0,60.0,63.0,58.0,51.0,100.0,nan,49.0,13.0,nan,0.0,29.94,nan,nan,nan,nan,nan
14,72.0,65.0,58.0,61.0,56.0,51.0,84.0,nan,61.0,15.0,nan,0.0,29.93,nan,nan,nan,nan,nan
15,83.0,70.0,56.0,54.0,52.0,49.0,80.0,nan,33.0,12.0,nan,0.0,29.92,nan,nan,nan,nan,nan
16,84.0,73.0,62.0,61.0,57.0,51.0,90.0,nan,39.0,9.0,nan,0.0,29.94,nan,nan,nan,nan,nan
17,76.0,70.0,64.0,68.0,65.0,61.0,100.0,nan,68.0,8.0,nan,0.0,29.95,nan,nan,nan,nan,nan
18,83.0,74.0,64.0,65.0,63.0,60.0,100.0,nan,51.0,7.0,nan,0.0,29.91,nan,nan,nan,nan,nan
19,83.0,76.0,69.0,63.0,57.0,49.0,78.0,nan,31.0,9.0,nan,0.0,29.86,nan,nan,nan,nan,nan
20,81.0,74.0,67.0,61.0,57.0,55.0,73.0,nan,45.0,7.0,nan,0.0,29.91,nan,nan,nan,nan,nan
21,82.0,76.0,70.0,69.0,65.0,60.0,78.0,nan,58.0,12.0,nan,0.0,29.93,nan,nan,nan,nan,nan
22,80.0,76.0,71.0,72.0,69.0,62.0,100.0,nan,68.0,13.0,nan,0.0,29.93,nan,nan,nan,nan,nan
23,71.0,69.0,66.0,72.0,69.0,64.0,100.0,nan,87.0,16.0,nan,0.0,29.83,nan,nan,nan,nan,nan
24,70.0,68.0,65.0,67.0,65.0,64.0,100.0,nan,90.0,12.0,nan,0.0,29.79,nan,nan,nan,nan,nan
25,80.0,72.0,64.0,67.0,64.0,58.0,100.0,nan,54.0,10.0,nan,0.0,29.89,nan,nan,nan,nan,nan
26,79.0,73.0,66.0,61.0,59.0,58.0,78.0,nan,52.0,10.0,nan,0.0,29.99,nan,nan,nan,nan,nan
27,82.0,74.0,66.0,64.0,62.0,60.0,87.0,nan,56.0,9.0,nan,0.0,30.04,nan,nan,nan,nan,nan
28,83.0,78.0,72.0,71.0,67.0,62.0,93.0,nan,62.0,10.0,nan,0.0,29.97,nan,nan,nan,nan,nan
29,82.0,76.0,69.0,73.0,64.0,55.0,100.0,nan,42.0,14.0,nan,0.0,29.94,nan,nan,nan,nan,nan
30,82.0,74.0,65.0,58.0,55.0,52.0,73.0,nan,39.0,12.0,nan,0.0,29.99,nan,nan,nan,nan,nan
